Method,Iteration,Time (s)
MLP+LBFGS,1,6.422074317932129
MLP+LBFGS,2,20.182847261428833
MLP+LBFGS,3,5.9099578857421875
MLP+LBFGS,4,1.9891695976257324
MLP+LBFGS,5,30.00675320625305
MLP+LBFGS,6,1.9551589488983154
MLP+LBFGS,7,4.007953405380249
MLP+LBFGS,8,4.008742570877075
MLP+LBFGS,9,8.03800630569458
MLP+LBFGS,10,5.9437172412872314
CVAE+LBFGS,1,2.696485757827759
CVAE+LBFGS,2,18.6782009601593
CVAE+LBFGS,3,6.693988800048828
CVAE+LBFGS,4,2.661357879638672
CVAE+LBFGS,5,2.663362979888916
CVAE+LBFGS,6,6.649883031845093
CVAE+LBFGS,7,8.693035364151001
CVAE+LBFGS,8,12.684964895248413
CVAE+LBFGS,9,2.6648073196411133
CVAE+LBFGS,10,2.729438304901123
