t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.010101010101010083e-01,-1.234467886388301849e-02,3.032022854313254356e-03,3.511728253215551376e-03,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
2.020202020202020166e-01,-3.585234284400939941e-02,9.287534281611442566e-03,1.001619361340999603e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
3.030303030303030387e-01,-6.923510879278182983e-02,1.926356926560401917e-02,1.877580210566520691e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
4.040404040404040331e-01,-1.110945641994476318e-01,3.359840810298919678e-02,2.880316600203514099e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
5.050505050505050830e-01,-1.599317193031311035e-01,5.289592593908309937e-02,3.883852809667587280e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
6.060606060606060774e-01,-2.141862213611602783e-01,7.754322886466979980e-02,4.736555740237236023e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
7.070707070707070718e-01,-2.723072767257690430e-01,1.075376197695732117e-01,5.268460884690284729e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
8.080808080808080662e-01,-3.328417241573333740e-01,1.423498392105102539e-01,5.304899811744689941e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
9.090909090909090606e-01,-3.945108354091644287e-01,1.808550357818603516e-01,4.685532674193382263e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.010101010101010166e+00,-4.562401175498962402e-01,2.213597744703292847e-01,3.286777064204216003e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.111111111111111160e+00,-5.171205401420593262e-01,2.617407143115997314e-01,1.044661086052656174e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.212121212121212155e+00,-5.763073563575744629e-01,2.996900975704193115e-01,-2.025826461613178253e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.313131313131313149e+00,-6.329014301300048828e-01,3.330365717411041260e-01,-5.820226669311523438e-02,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.414141414141414144e+00,-6.858856081962585449e-01,3.600791692733764648e-01,-1.014887392520904541e-01,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.515151515151515138e+00,-7.341754436492919922e-01,3.798545598983764648e-01,-1.475953012704849243e-01,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.616161616161616132e+00,-7.767851948738098145e-01,3.922604620456695557e-01,-1.937564313411712646e-01,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.717171717171717127e+00,-8.130352497100830078e-01,3.980036973953247070e-01,-2.373977750539779663e-01,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
1.818181818181818121e+00,-8.426942229270935059e-01,3.984001576900482178e-01,-2.764842808246612549e-01,3.253159523010253906e-01,-1.753920763731002808e-01,-3.253159523010253906e-01
