t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.010101010101010083e-01,-1.525806030258536339e-03,-3.377455752342939377e-03,-5.235382704995572567e-04,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.020202020202020166e-01,-4.480343777686357498e-03,-9.868574328720569611e-03,-1.499798265285789967e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.030303030303030387e-01,-8.795652538537979126e-03,-1.922958716750144958e-02,-2.849110867828130722e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.040404040404040331e-01,-1.441420149058103561e-02,-3.122618421912193298e-02,-4.502679686993360519e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
5.050505050505050830e-01,-2.124046534299850464e-02,-4.562263935804367065e-02,-6.419502664357423782e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
6.060606060606060774e-01,-2.905761264264583588e-02,-6.217138096690177917e-02,-8.593279868364334106e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
7.070707070707070718e-01,-3.743272647261619568e-02,-8.060475438833236694e-02,-1.104111690074205399e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
8.080808080808080662e-01,-4.566445574164390564e-02,-1.006315276026725769e-01,-1.376706641167402267e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
9.090909090909090606e-01,-5.282463878393173218e-02,-1.219396889209747314e-01,-1.669915951788425446e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.010101010101010166e+00,-5.789507925510406494e-02,-1.442071199417114258e-01,-1.960666477680206299e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.111111111111111160e+00,-5.994371324777603149e-02,-1.671233177185058594e-01,-2.201659791171550751e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.212121212121212155e+00,-5.827809497714042664e-02,-1.904257535934448242e-01,-2.316833473742008209e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.313131313131313149e+00,-5.255348235368728638e-02,-2.139434665441513062e-01,-2.207445539534091949e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.414141414141414144e+00,-4.284585267305374146e-02,-2.376170754432678223e-01,-1.776527427136898041e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.515151515151515138e+00,-2.969077229499816895e-02,-2.614477574825286865e-01,-9.715256281197071075e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.616161616161616132e+00,-1.404978986829519272e-02,-2.853575944900512695e-01,1.747864414937794209e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.717171717171717127e+00,2.839401829987764359e-03,-3.090298771858215332e-01,1.538721192628145218e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.818181818181818121e+00,1.969653740525245667e-02,-3.318468034267425537e-01,2.948133647441864014e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
1.919191919191919116e+00,3.540003299713134766e-02,-3.529663085937500000e-01,4.243752732872962952e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.020202020202020332e+00,4.906804487109184265e-02,-3.714635372161865234e-01,5.319193750619888306e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.121212121212121104e+00,6.003173068165779114e-02,-3.864447176456451416e-01,6.126410141587257385e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.222222222222222321e+00,6.776618212461471558e-02,-3.971030414104461670e-01,6.658235937356948853e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.323232323232323093e+00,7.182971388101577759e-02,-4.027332365512847900e-01,6.923437863588333130e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.424242424242424310e+00,7.182971388101577759e-02,-4.027332365512847900e-01,6.923437863588333130e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.525252525252525082e+00,7.182971388101577759e-02,-4.027332365512847900e-01,6.923437863588333130e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.626262626262626299e+00,6.744005531072616577e-02,-3.976883888244628906e-01,6.934050470590591431e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.727272727272727071e+00,5.948919430375099182e-02,-3.882049322128295898e-01,6.966340541839599609e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.828282828282828287e+00,4.917009174823760986e-02,-3.750074803829193115e-01,7.046159356832504272e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
2.929292929292929060e+00,3.796846792101860046e-02,-3.588574230670928955e-01,7.211371511220932007e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.030303030303030276e+00,2.754017524421215057e-02,-3.403922021389007568e-01,7.482504844665527344e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.131313131313131048e+00,1.943452470004558563e-02,-3.198766112327575684e-01,7.787130028009414673e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.232323232323232265e+00,1.462388969957828522e-02,-2.970173358917236328e-01,7.878872752189636230e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.333333333333333481e+00,1.312988903373479843e-02,-2.711261808872222900e-01,7.390636205673217773e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.434343434343434254e+00,1.417042966932058334e-02,-2.415470182895660400e-01,6.039699912071228027e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.535353535353535470e+00,1.660977490246295929e-02,-2.079052180051803589e-01,3.749886900186538696e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.636363636363636243e+00,1.920951344072818756e-02,-1.701944321393966675e-01,6.049801129847764969e-03,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.737373737373737459e+00,2.068440616130828857e-02,-1.289383620023727417e-01,-3.229519352316856384e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.838383838383838231e+00,1.980726793408393860e-02,-8.533663302659988403e-02,-7.540989667177200317e-02,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
3.939393939393939448e+00,1.567536965012550354e-02,-4.117497429251670837e-02,-1.208239868283271790e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.040404040404040664e+00,8.039267733693122864e-03,1.541343401186168194e-03,-1.659691631793975830e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.141414141414140992e+00,-2.550417091697454453e-03,4.103679582476615906e-02,-2.085727751255035400e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.242424242424242209e+00,-1.492900587618350983e-02,7.605091482400894165e-02,-2.469700127840042114e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.343434343434343425e+00,-2.771617472171783447e-02,1.058832108974456787e-01,-2.801716625690460205e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.444444444444444642e+00,-3.968182578682899475e-02,1.302905678749084473e-01,-3.077403008937835693e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
4.545454545454544970e+00,-4.993565753102302551e-02,1.493469774723052979e-01,-3.296039402484893799e-01,-2.617994248867034912e-01,2.617994546890258789e-01,2.617994248867034912e-01
