t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.010101010101010083e-01,2.339324057102203369e-01,5.004516988992691040e-02,-2.128272503614425659e-01,2.183055430650711060e-01,-1.412787586450576782e-01,-1.568976342678070068e-01
2.020202020202020166e-01,4.475228786468505859e-01,9.573858976364135742e-02,-4.071477949619293213e-01,4.176279902458190918e-01,-2.702724337577819824e-01,-3.001520037651062012e-01
3.030303030303030387e-01,6.407713890075683594e-01,1.370802521705627441e-01,-5.829616189002990723e-01,5.979673266410827637e-01,-3.869809508323669434e-01,-4.297630786895751953e-01
4.040404040404040331e-01,8.136779069900512695e-01,1.740701496601104736e-01,-7.402687072753906250e-01,7.593235969543457031e-01,-4.914043545722961426e-01,-5.457308888435363770e-01
5.050505050505050830e-01,9.662424921989440918e-01,2.067082822322845459e-01,-8.790690302848815918e-01,9.016966819763183594e-01,-5.835426449775695801e-01,-6.480554342269897461e-01
6.060606060606060774e-01,1.098465204238891602e+00,2.349947243928909302e-01,-9.993627667427062988e-01,1.025086879730224609e+00,-6.633958816528320312e-01,-7.367367148399353027e-01
7.070707070707070718e-01,1.210345983505249023e+00,2.589293718338012695e-01,-1.101149797439575195e+00,1.129493951797485352e+00,-7.309640645980834961e-01,-8.117747306823730469e-01
8.080808080808080662e-01,1.301884651184082031e+00,2.785122394561767578e-01,-1.184429883956909180e+00,1.214917659759521484e+00,-7.862469553947448730e-01,-8.731694221496582031e-01
9.090909090909090606e-01,1.373081445693969727e+00,2.937434017658233643e-01,-1.249203443527221680e+00,1.281358480453491211e+00,-8.292449116706848145e-01,-9.209209680557250977e-01
1.010101010101010166e+00,1.423936367034912109e+00,3.046227693557739258e-01,-1.295470118522644043e+00,1.328816175460815430e+00,-8.599575757980346680e-01,-9.550290107727050781e-01
