t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6,dJ7,dJ8,dJ9,dJ10,dJ11,dJ12
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,1.305826753377914429e-02,9.293029457330703735e-02,6.255926936864852905e-02,-7.862193882465362549e-02,1.661916375160217285e-01,9.607286751270294189e-02,9.427664428949356079e-02,-1.608818322420120239e-01,-6.084714084863662720e-02,-5.236133933067321777e-03,1.165726035833358765e-01,7.235129829496145248e-03
2.020202020202020166e-01,2.498103305697441101e-02,1.777797043323516846e-01,1.196786016225814819e-01,-1.504071801900863647e-01,3.179318308830261230e-01,1.837915778160095215e-01,1.803553253412246704e-01,-3.077739477157592773e-01,-1.164032220840454102e-01,-1.001695264130830765e-02,2.230084687471389771e-01,1.384111773222684860e-02
3.030303030303030387e-01,3.576829656958580017e-02,2.545481920242309570e-01,1.713580042123794556e-01,-2.153557240962982178e-01,4.552206099033355713e-01,2.631561160087585449e-01,2.582360208034515381e-01,-4.406763017177581787e-01,-1.666682511568069458e-01,-1.434245426207780838e-02,3.193075656890869141e-01,1.981796510517597198e-02
4.040404040404040331e-01,4.542005807161331177e-02,3.232358098030090332e-01,2.175974547863006592e-01,-2.734676003456115723e-01,5.780578851699829102e-01,3.341664671897888184e-01,3.279187679290771484e-01,-5.595889687538146973e-01,-2.116422206163406372e-01,-1.821264065802097321e-02,4.054699540138244629e-01,2.516566775739192963e-02
5.050505050505050830e-01,5.393632128834724426e-02,3.838424980640411377e-01,2.583969533443450928e-01,-3.247427344322204590e-01,6.864436864852905273e-01,3.968226611614227295e-01,3.894035220146179199e-01,-6.645118594169616699e-01,-2.513251304626464844e-01,-2.162750810384750366e-02,4.814955294132232666e-01,2.988423034548759460e-02
6.060606060606060774e-01,6.131707876920700073e-02,4.363683164119720459e-01,2.937565743923187256e-01,-3.691812455654144287e-01,7.803781628608703613e-01,4.511247575283050537e-01,4.426903128623962402e-01,-7.554451227188110352e-01,-2.857170104980468750e-01,-2.458706311881542206e-02,5.473843812942504883e-01,3.397365659475326538e-02
7.070707070707070718e-01,6.756234169006347656e-02,4.808132648468017578e-01,3.236762285232543945e-01,-4.067830443382263184e-01,8.598610758781433105e-01,4.970726370811462402e-01,4.877792000770568848e-01,-8.323886990547180176e-01,-3.148178160190582275e-01,-2.709130384027957916e-02,6.031365394592285156e-01,3.743393346667289734e-02
8.080808080808080662e-01,7.267209142446517944e-02,5.171772241592407227e-01,3.481559157371520996e-01,-4.375481009483337402e-01,9.248925447463989258e-01,5.346663594245910645e-01,5.246700048446655273e-01,-8.953423500061035156e-01,-3.386275172233581543e-01,-2.914022281765937805e-02,6.487518548965454102e-01,4.026506841182708740e-02
9.090909090909090606e-01,7.664635032415390015e-02,5.454604029655456543e-01,3.671957254409790039e-01,-4.614765644073486328e-01,9.754726290702819824e-01,5.639059543609619141e-01,5.533629655838012695e-01,-9.443063735961914062e-01,-3.571462631225585938e-01,-3.073382936418056488e-02,6.842305064201354980e-01,4.246706515550613403e-02
