t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,1.236056070774793625e-02,2.644295338541269302e-03,-1.124540250748395920e-02,1.153486501425504684e-02,-7.464911323040723801e-03,-8.290184661746025085e-03
2.020202020202020166e-01,4.802960529923439026e-02,1.027497556060552597e-02,-4.369641840457916260e-02,4.482118785381317139e-02,-2.900651097297668457e-02,-3.221328556537628174e-02
3.030303030303030387e-01,1.048881709575653076e-01,2.243873104453086853e-02,-9.542526304721832275e-02,9.788155555725097656e-02,-6.334509700536727905e-02,-7.034812867641448975e-02
4.040404040404040331e-01,1.808173358440399170e-01,3.868226334452629089e-02,-1.645041704177856445e-01,1.687385886907577515e-01,-1.092009842395782471e-01,-1.212735474109649658e-01
5.050505050505050830e-01,2.736981213092803955e-01,5.855225026607513428e-02,-2.490053474903106689e-01,2.554148733615875244e-01,-1.652944535017013550e-01,-1.835683584213256836e-01
6.060606060606060774e-01,3.814115524291992188e-01,8.159539103507995605e-02,-3.470009565353393555e-01,3.559329509735107422e-01,-2.303458005189895630e-01,-2.558113634586334229e-01
7.070707070707070718e-01,5.018386840820312500e-01,1.073583811521530151e-01,-4.565632939338684082e-01,4.683154821395874023e-01,-3.030753731727600098e-01,-3.365814387798309326e-01
8.080808080808080662e-01,6.328606605529785156e-01,1.353879123926162720e-01,-5.757645964622497559e-01,5.905850529670715332e-01,-3.822034299373626709e-01,-4.244574010372161865e-01
9.090909090909090606e-01,7.723583579063415527e-01,1.652306616306304932e-01,-7.026769518852233887e-01,7.207642197608947754e-01,-4.664502441883087158e-01,-5.180180072784423828e-01
1.010101010101010166e+00,9.182130098342895508e-01,1.964333504438400269e-01,-8.353727459907531738e-01,8.568756580352783203e-01,-5.545362234115600586e-01,-6.158422231674194336e-01
1.111111111111111160e+00,1.068305373191833496e+00,2.285426259040832520e-01,-9.719239473342895508e-01,9.969417452812194824e-01,-6.451814770698547363e-01,-7.165086269378662109e-01
1.212121212121212155e+00,1.220516920089721680e+00,2.611052393913269043e-01,-1.110403060913085938e+00,1.138985395431518555e+00,-7.371065616607666016e-01,-8.185963630676269531e-01
1.313131313131313149e+00,1.372728228569030762e+00,2.936678230762481689e-01,-1.248882055282592773e+00,1.281028866767883301e+00,-8.290315270423889160e-01,-9.206839799880981445e-01
1.414141414141414144e+00,1.522820949554443359e+00,3.257771432399749756e-01,-1.385433435440063477e+00,1.421095252037048340e+00,-9.196769595146179199e-01,-1.021350502967834473e+00
1.515151515151515138e+00,1.668675422668457031e+00,3.569798171520233154e-01,-1.518129229545593262e+00,1.557206630706787109e+00,-1.007762908935546875e+00,-1.119174718856811523e+00
1.616161616161616132e+00,1.808173060417175293e+00,3.868225216865539551e-01,-1.645041346549987793e+00,1.687385559082031250e+00,-1.092009544372558594e+00,-1.212735176086425781e+00
1.717171717171717127e+00,1.939195156097412109e+00,4.148521125316619873e-01,-1.764242887496948242e+00,1.809655427932739258e+00,-1.171137809753417969e+00,-1.300611376762390137e+00
1.818181818181818121e+00,2.059622287750244141e+00,4.406150877475738525e-01,-1.873805165290832520e+00,1.922037839889526367e+00,-1.243867278099060059e+00,-1.381381392478942871e+00
1.919191919191919116e+00,2.167335510253906250e+00,4.636582136154174805e-01,-1.971800684928894043e+00,2.022555828094482422e+00,-1.308918595314025879e+00,-1.453624248504638672e+00
2.020202020202020332e+00,2.260216474533081055e+00,4.835282266139984131e-01,-2.056301832199096680e+00,2.109232187271118164e+00,-1.365012168884277344e+00,-1.515919208526611328e+00
2.121212121212121104e+00,2.336145639419555664e+00,4.997717440128326416e-01,-2.125380754470825195e+00,2.180089235305786133e+00,-1.410868048667907715e+00,-1.566844582557678223e+00
2.222222222222222321e+00,2.393004179000854492e+00,5.119354724884033203e-01,-2.177109718322753906e+00,2.233149528503417969e+00,-1.445206522941589355e+00,-1.604979395866394043e+00
2.323232323232323093e+00,2.428673267364501953e+00,5.195661783218383789e-01,-2.209560632705688477e+00,2.266435861587524414e+00,-1.466748237609863281e+00,-1.628902554512023926e+00
2.424242424242424310e+00,2.441033840179443359e+00,5.222104787826538086e-01,-2.220806121826171875e+00,2.277970790863037109e+00,-1.474213123321533203e+00,-1.637192726135253906e+00
2.525252525252525082e+00,2.441033840179443359e+00,5.222104787826538086e-01,-2.220806121826171875e+00,2.277970790863037109e+00,-1.474213123321533203e+00,-1.637192726135253906e+00
2.626262626262626299e+00,2.441033840179443359e+00,5.151160955429077148e-01,-2.198548555374145508e+00,2.273624658584594727e+00,-1.459332823753356934e+00,-1.641145467758178711e+00
2.727272727272727071e+00,2.441033840179443359e+00,4.946438074111938477e-01,-2.134319543838500977e+00,2.261082410812377930e+00,-1.416392326354980469e+00,-1.652551889419555664e+00
2.828282828282828287e+00,2.441033840179443359e+00,4.620097279548645020e-01,-2.031934738159179688e+00,2.241089820861816406e+00,-1.347942829132080078e+00,-1.670734524726867676e+00
2.929292929292929060e+00,2.441034078598022461e+00,4.184300601482391357e-01,-1.895209670066833496e+00,2.214391469955444336e+00,-1.256535053253173828e+00,-1.695015668869018555e+00
3.030303030303030276e+00,2.441034078598022461e+00,3.651209771633148193e-01,-1.727959871292114258e+00,2.181732416152954102e+00,-1.144719839096069336e+00,-1.724717736244201660e+00
3.131313131313131048e+00,2.441034078598022461e+00,3.032986819744110107e-01,-1.534001111984252930e+00,2.143857955932617188e+00,-1.015048384666442871e+00,-1.759163022041320801e+00
3.232323232323232265e+00,2.441034078598022461e+00,2.341792881488800049e-01,-1.317148923873901367e+00,2.101513147354125977e+00,-8.700713515281677246e-01,-1.797674059867858887e+00
3.333333333333333481e+00,2.441034317016601562e+00,1.589789986610412598e-01,-1.081218600273132324e+00,2.055442810058593750e+00,-7.123396992683410645e-01,-1.839573025703430176e+00
3.434343434343434254e+00,2.441034317016601562e+00,7.891407608985900879e-02,-8.300261497497558594e-01,2.006392478942871094e+00,-5.444045066833496094e-01,-1.884182572364807129e+00
