t,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,6.899749860167503357e-04,4.910266958177089691e-03,3.305517602711915970e-03,-4.154239315539598465e-03,8.781262673437595367e-03,5.076314322650432587e-03,4.981405567377805710e-03,-8.500701747834682465e-03,-3.215051721781492233e-03,-2.766677353065460920e-04,6.159483455121517181e-03,3.822910366579890251e-04
2.020202020202020166e-01,2.681045327335596085e-03,1.907989196479320526e-02,1.284429524093866348e-02,-1.614218577742576599e-02,3.412147611379623413e-02,1.972510665655136108e-02,1.935631781816482544e-02,-3.303129598498344421e-02,-1.249277126044034958e-02,-1.075051724910736084e-03,2.393398992717266083e-02,1.485473709180951118e-03
3.030303030303030387e-01,5.854929797351360321e-03,4.166711494326591492e-02,2.804967388510704041e-02,-3.525168448686599731e-02,7.451527565717697144e-02,4.307615011930465698e-02,4.227077960968017578e-02,-7.213451713323593140e-02,-2.728200517594814301e-02,-2.347723115235567093e-03,5.226760730147361755e-02,3.244012128561735153e-03
4.040404040404040331e-01,1.009334810078144073e-02,7.183019071817398071e-02,4.835499823093414307e-02,-6.077058613300323486e-02,1.284573227167129517e-01,7.425922900438308716e-02,7.287084311246871948e-02,-1.243531256914138794e-01,-4.703161120414733887e-02,-4.047253634780645370e-03,9.010443836450576782e-02,5.592371802777051926e-03
5.050505050505050830e-01,1.527801714837551117e-02,1.087273359298706055e-01,7.319360226392745972e-02,-9.198672324419021606e-02,1.944422274827957153e-01,1.124041005969047546e-01,1.103025451302528381e-01,-1.882298290729522705e-01,-7.119042426347732544e-02,-6.126214284449815750e-03,1.363885551691055298e-01,8.465015329420566559e-03
6.060606060606060774e-01,2.129065245389938354e-02,1.515167802572250366e-01,1.019988134503364563e-01,-1.281879395246505737e-01,2.709646224975585938e-01,1.566405445337295532e-01,1.537119150161743164e-01,-2.623073458671569824e-01,-9.920729696750640869e-02,-8.537175133824348450e-03,1.900640279054641724e-01,1.179640740156173706e-02
7.070707070707070718e-01,2.801298163831233978e-02,1.993568092584609985e-01,1.342040002346038818e-01,-1.686621010303497314e-01,3.565192222595214844e-01,2.060983479022979736e-01,2.022450417280197144e-01,-3.451284468173980713e-01,-1.305310875177383423e-01,-1.123270951211452484e-02,2.500749826431274414e-01,1.552101410925388336e-02
8.080808080808080662e-01,3.532671555876731873e-02,2.514056563377380371e-01,1.692424863576889038e-01,-2.126970440149307251e-01,4.496006071567535400e-01,2.599073052406311035e-01,2.550479471683502197e-01,-4.352359175682067871e-01,-1.646106392145156860e-01,-1.416538842022418976e-02,3.153655230998992920e-01,1.957330107688903809e-02
9.090909090909090606e-01,4.311357438564300537e-02,3.068214952945709229e-01,2.065475881099700928e-01,-2.595805823802947998e-01,5.487033724784851074e-01,3.171970844268798828e-01,3.112666308879852295e-01,-5.311723351478576660e-01,-2.008947730064392090e-01,-1.728777959942817688e-02,3.848796784877777100e-01,2.388772554695606232e-02
