t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.010101010101010083e-01,-1.232036482542753220e-02,3.040520707145333290e-03,3.509570611640810966e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.020202020202020166e-01,-3.580375388264656067e-02,9.314656257629394531e-03,1.001879386603832245e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.030303030303030387e-01,-6.918121129274368286e-02,1.930401846766471863e-02,1.877823099493980408e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.040404040404040331e-01,-1.110781654715538025e-01,3.363410010933876038e-02,2.879105880856513977e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.050505050505050830e-01,-1.599440276622772217e-01,5.293209850788116455e-02,3.887300938367843628e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.060606060606060774e-01,-2.142697125673294067e-01,7.753589004278182983e-02,4.744037240743637085e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.070707070707070718e-01,-2.725648880004882812e-01,1.074904501438140869e-01,5.280725285410881042e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
8.080808080808080662e-01,-3.333424329757690430e-01,1.422980576753616333e-01,5.326206237077713013e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
9.090909090909090606e-01,-3.953295350074768066e-01,1.808484494686126709e-01,4.718465730547904968e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.010101010101010166e+00,-4.575285315513610840e-01,2.213906496763229370e-01,3.326511383056640625e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.111111111111111160e+00,-5.189443230628967285e-01,2.619176506996154785e-01,1.089114602655172348e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.212121212121212155e+00,-5.787288546562194824e-01,3.000675141811370850e-01,-1.981134898960590363e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
