t,yaw,pitch,roll,yaw_target,pitch_target,roll_target
0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.010101010101010083e-01,1.100362092256546021e-02,7.308002095669507980e-03,-4.668028093874454498e-03,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.020202020202020166e-01,3.181108832359313965e-02,2.181415259838104248e-02,-1.327754277735948563e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
3.030303030303030387e-01,6.086750701069831848e-02,4.367386922240257263e-02,-2.483132295310497284e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
4.040404040404040331e-01,9.636917710304260254e-02,7.325520366430282593e-02,-3.801675140857696533e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
5.050505050505050830e-01,1.362951695919036865e-01,1.109724715352058411e-01,-5.122527852654457092e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
6.060606060606060774e-01,1.783665865659713745e-01,1.568697541952133179e-01,-6.252506375312805176e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
7.070707070707070718e-01,2.202626168727874756e-01,2.104387432336807251e-01,-6.987437605857849121e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
8.080808080808080662e-01,2.598356902599334717e-01,2.704195976257324219e-01,-7.117234915494918823e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
9.090909090909090606e-01,2.954350709915161133e-01,3.346446752548217773e-01,-6.460057199001312256e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.010101010101010166e+00,3.259944617748260498e-01,4.002670943737030029e-01,-4.885935783386230469e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.111111111111111160e+00,3.510297238826751709e-01,4.635147154331207275e-01,-2.348954603075981140e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.212121212121212155e+00,3.706578314304351807e-01,5.205826163291931152e-01,1.106353849172592163e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.313131313131313149e+00,3.852002918720245361e-01,5.682022571563720703e-01,5.299069732427597046e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.414141414141414144e+00,3.951023221015930176e-01,6.038826704025268555e-01,9.957271069288253784e-02,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.515151515151515138e+00,4.008935391902923584e-01,6.265550851821899414e-01,1.474142819643020630e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.616161616161616132e+00,4.030774533748626709e-01,6.366236209869384766e-01,1.932802051305770874e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.717171717171717127e+00,4.023914337158203125e-01,6.358082890510559082e-01,2.344158738851547241e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.818181818181818121e+00,3.997745513916015625e-01,6.267172098159790039e-01,2.691993713378906250e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
1.919191919191919116e+00,3.962155878543853760e-01,6.124196648597717285e-01,2.970388233661651611e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.020202020202020332e+00,3.925975859165191650e-01,5.960792899131774902e-01,3.180924952030181885e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.121212121212121104e+00,3.895250260829925537e-01,5.806223154067993164e-01,3.329988121986389160e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.222222222222222321e+00,3.873530328273773193e-01,5.685481429100036621e-01,3.425081670284271240e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.323232323232323093e+00,3.862249553203582764e-01,5.618368983268737793e-01,3.471689820289611816e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.424242424242424310e+00,3.862249553203582764e-01,5.618368983268737793e-01,3.471689820289611816e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.525252525252525082e+00,3.862249553203582764e-01,5.618368983268737793e-01,3.471689820289611816e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.626262626262626299e+00,3.893900513648986816e-01,5.764937996864318848e-01,3.342393040657043457e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
2.727272727272727071e+00,3.952405750751495361e-01,6.012936234474182129e-01,3.070845603942871094e-01,-2.617993950843811035e-01,2.617994546890258789e-01,2.617993950843811035e-01
