t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
1.010101010101010083e-01,2.337522208690643311e-01,4.974170401692390442e-02,-2.103756964206695557e-01,2.161734849214553833e-01,-1.225193887948989868e-01,-1.666337996721267700e-01
2.020202020202020166e-01,4.471781849861145020e-01,9.515804797410964966e-02,-4.024578630924224854e-01,4.135492742061614990e-01,-2.343849241733551025e-01,-3.187777400016784668e-01
3.030303030303030387e-01,6.402778625488281250e-01,1.362490206956863403e-01,-5.762464404106140137e-01,5.921273827552795410e-01,-3.355965614318847656e-01,-4.564317166805267334e-01
4.040404040404040331e-01,8.130512237548828125e-01,1.730146110057830811e-01,-7.317414879798889160e-01,7.519077062606811523e-01,-4.261543750762939453e-01,-5.795958638191223145e-01
5.050505050505050830e-01,9.654982686042785645e-01,2.054548561573028564e-01,-8.689429163932800293e-01,8.928903341293334961e-01,-5.060582756996154785e-01,-6.882699728012084961e-01
6.060606060606060774e-01,1.097619175910949707e+00,2.335697412490844727e-01,-9.878510236740112305e-01,1.015075445175170898e+00,-5.753084421157836914e-01,-7.824543714523315430e-01
7.070707070707070718e-01,1.209413766860961914e+00,2.573592662811279297e-01,-1.088465452194213867e+00,1.118462800979614258e+00,-6.339046359062194824e-01,-8.621488809585571289e-01
8.080808080808080662e-01,1.300881862640380859e+00,2.768233716487884521e-01,-1.170786380767822266e+00,1.203052282333374023e+00,-6.818469762802124023e-01,-9.273532629013061523e-01
9.090909090909090606e-01,1.372023940086364746e+00,2.919621765613555908e-01,-1.234813809394836426e+00,1.268844366073608398e+00,-7.191355228424072266e-01,-9.780679941177368164e-01
1.010101010101010166e+00,1.422839522361755371e+00,3.027755618095397949e-01,-1.280547499656677246e+00,1.315838575363159180e+00,-7.457700967788696289e-01,-1.014292716979980469e+00
1.111111111111111160e+00,1.453328967094421387e+00,3.092636168003082275e-01,-1.307987928390502930e+00,1.344035029411315918e+00,-7.617508769035339355e-01,-1.036027550697326660e+00
1.212121212121212155e+00,1.463492155075073242e+00,3.114263117313385010e-01,-1.317134618759155273e+00,1.353433966636657715e+00,-7.670778632164001465e-01,-1.043272495269775391e+00
1.313131313131313149e+00,1.453329086303710938e+00,3.092636466026306152e-01,-1.307987928390502930e+00,1.344035148620605469e+00,-7.617509961128234863e-01,-1.036027669906616211e+00
1.414141414141414144e+00,1.422839641571044922e+00,3.027755916118621826e-01,-1.280547738075256348e+00,1.315838575363159180e+00,-7.457701563835144043e-01,-1.014292716979980469e+00
1.515151515151515138e+00,1.372023940086364746e+00,2.919621765613555908e-01,-1.234813809394836426e+00,1.268844366073608398e+00,-7.191355228424072266e-01,-9.780679941177368164e-01
1.616161616161616132e+00,1.300881981849670410e+00,2.768234014511108398e-01,-1.170786499977111816e+00,1.203052401542663574e+00,-6.818469762802124023e-01,-9.273533821105957031e-01
1.717171717171717127e+00,1.209413766860961914e+00,2.573592662811279297e-01,-1.088465452194213867e+00,1.118462800979614258e+00,-6.339046359062194824e-01,-8.621488809585571289e-01
1.818181818181818121e+00,1.097619175910949707e+00,2.335697412490844727e-01,-9.878510236740112305e-01,1.015075445175170898e+00,-5.753084421157836914e-01,-7.824543714523315430e-01
1.919191919191919116e+00,9.654984474182128906e-01,2.054549008607864380e-01,-8.689432144165039062e-01,8.928905725479125977e-01,-5.060583949089050293e-01,-6.882702112197875977e-01
2.020202020202020332e+00,8.130513429641723633e-01,1.730146408081054688e-01,-7.317415475845336914e-01,7.519078254699707031e-01,-4.261544346809387207e-01,-5.795959234237670898e-01
2.121212121212121104e+00,6.402778625488281250e-01,1.362490206956863403e-01,-5.762464404106140137e-01,5.921273827552795410e-01,-3.355965614318847656e-01,-4.564317166805267334e-01
2.222222222222222321e+00,4.471780657768249512e-01,9.515801817178726196e-02,-4.024577140808105469e-01,4.135491847991943359e-01,-2.343848496675491333e-01,-3.187776207923889160e-01
2.323232323232323093e+00,2.337523400783538818e-01,4.974172636866569519e-02,-2.103757858276367188e-01,2.161735743284225464e-01,-1.225194483995437622e-01,-1.666338741779327393e-01
2.424242424242424310e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00
2.525252525252525082e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
2.626262626262626299e+00,4.544556213659234345e-05,-1.332408934831619263e-01,4.226018488407135010e-01,-9.988407790660858154e-02,2.268678694963455200e-01,-6.256861239671707153e-02
