t,dJ1,dJ2,dJ3,dJ4,dJ5,dJ6
0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-2.010775804519653320e-01,-1.667712181806564331e-01,-5.008509755134582520e-02,-8.741015195846557617e-02,2.276457548141479492e-01,1.587456613779067993e-01
2.020202020202020166e-01,-3.846701681613922119e-01,-3.190406262874603271e-01,-9.581497311592102051e-02,-1.672194451093673706e-01,4.354962408542633057e-01,3.036873638629913330e-01
3.030303030303030387e-01,-5.507777333259582520e-01,-4.568081498146057129e-01,-1.371896117925643921e-01,-2.394278347492218018e-01,6.235514283180236816e-01,4.348250925540924072e-01
4.040404040404040331e-01,-6.994002461433410645e-01,-5.800738334655761719e-01,-1.742090433835983276e-01,-3.040353357791900635e-01,7.918112874031066895e-01,5.521588325500488281e-01
5.050505050505050830e-01,-8.305377960205078125e-01,-6.888376474380493164e-01,-2.068732231855392456e-01,-3.610419332981109619e-01,9.402758479118347168e-01,6.556885838508605957e-01
6.060606060606060774e-01,-9.441904425621032715e-01,-7.830996513366699219e-01,-2.351821959018707275e-01,-4.104476869106292725e-01,1.068945288658142090e+00,7.454144358634948730e-01
7.070707070707070718e-01,-1.040357947349548340e+00,-8.628598451614379883e-01,-2.591359615325927734e-01,-4.522525966167449951e-01,1.177819371223449707e+00,8.213362693786621094e-01
8.080808080808080662e-01,-1.119040369987487793e+00,-9.281180500984191895e-01,-2.787344455718994141e-01,-4.864564836025238037e-01,1.266898036003112793e+00,8.834540247917175293e-01
9.090909090909090606e-01,-1.180238008499145508e+00,-9.788746237754821777e-01,-2.939777672290802002e-01,-5.130596160888671875e-01,1.336181521415710449e+00,9.317680597305297852e-01
1.010101010101010166e+00,-1.223950386047363281e+00,-1.015129208564758301e+00,-3.048658072948455811e-01,-5.320617556571960449e-01,1.385669708251953125e+00,9.662778973579406738e-01
1.111111111111111160e+00,-1.250177979469299316e+00,-1.036881923675537109e+00,-3.113986551761627197e-01,-5.434631705284118652e-01,1.415362715721130371e+00,9.869838953018188477e-01
1.212121212121212155e+00,-1.258920550346374512e+00,-1.044132947921752930e+00,-3.135762810707092285e-01,-5.472635626792907715e-01,1.425260424613952637e+00,9.938859343528747559e-01
1.313131313131313149e+00,-1.250178098678588867e+00,-1.036882042884826660e+00,-3.113986849784851074e-01,-5.434631705284118652e-01,1.415362715721130371e+00,9.869839549064636230e-01
1.414141414141414144e+00,-1.223950505256652832e+00,-1.015129327774047852e+00,-3.048658370971679688e-01,-5.320618152618408203e-01,1.385669827461242676e+00,9.662780165672302246e-01
1.515151515151515138e+00,-1.180238008499145508e+00,-9.788746237754821777e-01,-2.939777672290802002e-01,-5.130596160888671875e-01,1.336181521415710449e+00,9.317680597305297852e-01
1.616161616161616132e+00,-1.119040489196777344e+00,-9.281181693077087402e-01,-2.787344753742218018e-01,-4.864565432071685791e-01,1.266898155212402344e+00,8.834541440010070801e-01
1.717171717171717127e+00,-1.040357947349548340e+00,-8.628598451614379883e-01,-2.591359615325927734e-01,-4.522525966167449951e-01,1.177819371223449707e+00,8.213362693786621094e-01
1.818181818181818121e+00,-9.441904425621032715e-01,-7.830996513366699219e-01,-2.351821959018707275e-01,-4.104476869106292725e-01,1.068945288658142090e+00,7.454144358634948730e-01
1.919191919191919116e+00,-8.305377960205078125e-01,-6.888376474380493164e-01,-2.068732231855392456e-01,-3.610419332981109619e-01,9.402758479118347168e-01,6.556885838508605957e-01
2.020202020202020332e+00,-6.994003653526306152e-01,-5.800738930702209473e-01,-1.742090582847595215e-01,-3.040353655815124512e-01,7.918114066123962402e-01,5.521588921546936035e-01
2.121212121212121104e+00,-5.507777333259582520e-01,-4.568081498146057129e-01,-1.371896117925643921e-01,-2.394278347492218018e-01,6.235514283180236816e-01,4.348250925540924072e-01
2.222222222222222321e+00,-3.846700489521026611e-01,-3.190405368804931641e-01,-9.581495076417922974e-02,-1.672193855047225952e-01,4.354960918426513672e-01,3.036873042583465576e-01
2.323232323232323093e+00,-2.010776847600936890e-01,-1.667713075876235962e-01,-5.008512362837791443e-02,-8.741020411252975464e-02,2.276458591222763062e-01,1.587457507848739624e-01
2.424242424242424310e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525252525252525082e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
2.626262626262626299e+00,3.389094769954681396e-01,3.124654293060302734e-01,2.822231650352478027e-01,2.956717908382415771e-01,-6.915231049060821533e-02,7.273033261299133301e-02
2.727272727272727071e+00,6.483485698699951172e-01,5.977600216865539551e-01,5.399051904678344727e-01,5.656329989433288574e-01,-1.322913765907287598e-01,1.391362994909286499e-01
2.828282828282828287e+00,9.283172488212585449e-01,8.558835983276367188e-01,7.730460166931152344e-01,8.098835945129394531e-01,-1.894171983003616333e-01,1.992178708314895630e-01
2.929292929292929060e+00,1.178815484046936035e+00,1.086836338043212891e+00,9.816457033157348633e-01,1.028423666954040527e+00,-2.405297756195068359e-01,2.529750764369964600e-01
3.030303030303030276e+00,1.399843335151672363e+00,1.290618062019348145e+00,1.165704250335693359e+00,1.221252918243408203e+00,-2.856290936470031738e-01,3.004078567028045654e-01
3.131313131313131048e+00,1.591400980949401855e+00,1.467229127883911133e+00,1.325221776962280273e+00,1.388371825218200684e+00,-3.247151970863342285e-01,3.415163457393646240e-01
3.232323232323232265e+00,1.753488183021545410e+00,1.616669058799743652e+00,1.460198163986206055e+00,1.529780268669128418e+00,-3.577880561351776123e-01,3.763004243373870850e-01
3.333333333333333481e+00,1.886104822158813477e+00,1.738937973976135254e+00,1.570633172988891602e+00,1.645477652549743652e+00,-3.848476111888885498e-01,4.047600924968719482e-01
3.434343434343434254e+00,1.989251136779785156e+00,1.834036231040954590e+00,1.656527161598205566e+00,1.735464930534362793e+00,-4.058940112590789795e-01,4.268954396247863770e-01
3.535353535353535470e+00,2.062927007675170898e+00,1.901963472366333008e+00,1.717879891395568848e+00,1.799741148948669434e+00,-4.209271073341369629e-01,4.427063465118408203e-01
3.636363636363636243e+00,2.107132673263549805e+00,1.942719817161560059e+00,1.754691720008850098e+00,1.838307261466979980e+00,-4.299469590187072754e-01,4.521929323673248291e-01
3.737373737373737459e+00,2.121867895126342773e+00,1.956305384635925293e+00,1.766962409019470215e+00,1.851162552833557129e+00,-4.329535961151123047e-01,4.553551375865936279e-01
3.838383838383838231e+00,2.107132673263549805e+00,1.942720055580139160e+00,1.754691958427429199e+00,1.838307261466979980e+00,-4.299469888210296631e-01,4.521929323673248291e-01
3.939393939393939448e+00,2.062927246093750000e+00,1.901963591575622559e+00,1.717880129814147949e+00,1.799741387367248535e+00,-4.209271073341369629e-01,4.427064061164855957e-01
4.040404040404040664e+00,1.989251136779785156e+00,1.834036231040954590e+00,1.656527161598205566e+00,1.735464930534362793e+00,-4.058940112590789795e-01,4.268954396247863770e-01
4.141414141414140992e+00,1.886104941368103027e+00,1.738938212394714355e+00,1.570633292198181152e+00,1.645477890968322754e+00,-3.848476409912109375e-01,4.047601222991943359e-01
4.242424242424242209e+00,1.753488183021545410e+00,1.616669058799743652e+00,1.460198163986206055e+00,1.529780268669128418e+00,-3.577880561351776123e-01,3.763004243373870850e-01
4.343434343434343425e+00,1.591400980949401855e+00,1.467229127883911133e+00,1.325221776962280273e+00,1.388371825218200684e+00,-3.247151970863342285e-01,3.415163457393646240e-01
4.444444444444444642e+00,1.399843335151672363e+00,1.290618062019348145e+00,1.165704250335693359e+00,1.221252918243408203e+00,-2.856290936470031738e-01,3.004078567028045654e-01
4.545454545454544970e+00,1.178815722465515137e+00,1.086836457252502441e+00,9.816458821296691895e-01,1.028423786163330078e+00,-2.405298054218292236e-01,2.529751062393188477e-01
4.646464646464646187e+00,9.283172488212585449e-01,8.558835983276367188e-01,7.730460166931152344e-01,8.098835945129394531e-01,-1.894171983003616333e-01,1.992178708314895630e-01
4.747474747474747403e+00,6.483483910560607910e-01,5.977599024772644043e-01,5.399050116539001465e-01,5.656328797340393066e-01,-1.322913467884063721e-01,1.391362547874450684e-01
4.848484848484848619e+00,3.389096260070800781e-01,3.124656081199645996e-01,2.822233140468597412e-01,2.956719398498535156e-01,-6.915234774351119995e-02,7.273036986589431763e-02
4.949494949494949836e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
5.050505050505050164e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
5.151515151515151381e+00,-3.678552806377410889e-01,-4.725995659828186035e-02,-6.723939627408981323e-02,-4.108286798000335693e-01,7.223355770111083984e-02,-4.608568251132965088e-01
5.252525252525252597e+00,-7.037231922149658203e-01,-9.041035175323486328e-02,-1.286318898200988770e-01,-7.859331965446472168e-01,1.381859481334686279e-01,-8.816391825675964355e-01
5.353535353535353813e+00,-1.007603645324707031e+00,-1.294511854648590088e-01,-1.841774731874465942e-01,-1.125313401222229004e+00,1.978571414947509766e-01,-1.262347102165222168e+00
5.454545454545454142e+00,-1.279496669769287109e+00,-1.643824577331542969e-01,-2.338761389255523682e-01,-1.428969383239746094e+00,2.512471675872802734e-01,-1.602980256080627441e+00
5.555555555555555358e+00,-1.519402265548706055e+00,-1.952041536569595337e-01,-2.777279317378997803e-01,-1.696900963783264160e+00,2.983559966087341309e-01,-1.903538942337036133e+00
5.656565656565656575e+00,-1.727320551872253418e+00,-2.219163179397583008e-01,-3.157328069210052490e-01,-1.929108619689941406e+00,3.391836583614349365e-01,-2.164023399353027344e+00
5.757575757575757791e+00,-1.903251290321350098e+00,-2.445189207792282104e-01,-3.478907942771911621e-01,-2.125591993331909180e+00,3.737301826477050781e-01,-2.384433269500732422e+00
5.858585858585858119e+00,-2.047194480895996094e+00,-2.630119025707244873e-01,-3.742018342018127441e-01,-2.286350965499877930e+00,4.019954204559326172e-01,-2.564768552780151367e+00
5.959595959595959336e+00,-2.159150838851928711e+00,-2.773953974246978760e-01,-3.946660161018371582e-01,-2.411386013031005859e+00,4.239796102046966553e-01,-2.705029249191284180e+00
6.060606060606060552e+00,-2.239119052886962891e+00,-2.876692712306976318e-01,-4.092832505702972412e-01,-2.500696420669555664e+00,4.396825432777404785e-01,-2.805215597152709961e+00
6.161616161616161769e+00,-2.287100315093994141e+00,-2.938336431980133057e-01,-4.180535972118377686e-01,-2.554282665252685547e+00,4.491043090820312500e-01,-2.865327119827270508e+00
6.262626262626262097e+00,-2.303094148635864258e+00,-2.958884239196777344e-01,-4.209770858287811279e-01,-2.572144985198974609e+00,4.522449076175689697e-01,-2.885364532470703125e+00
6.363636363636363313e+00,-2.287100553512573242e+00,-2.938336730003356934e-01,-4.180536270141601562e-01,-2.554282903671264648e+00,4.491043090820312500e-01,-2.865327358245849609e+00
6.464646464646464530e+00,-2.239119291305541992e+00,-2.876693010330200195e-01,-4.092832505702972412e-01,-2.500696659088134766e+00,4.396825730800628662e-01,-2.805215597152709961e+00
6.565656565656565746e+00,-2.159150838851928711e+00,-2.773953974246978760e-01,-3.946660161018371582e-01,-2.411386013031005859e+00,4.239796102046966553e-01,-2.705029249191284180e+00
6.666666666666666963e+00,-2.047194719314575195e+00,-2.630119323730468750e-01,-3.742018640041351318e-01,-2.286350965499877930e+00,4.019954800605773926e-01,-2.564768552780151367e+00
6.767676767676767291e+00,-1.903251290321350098e+00,-2.445189207792282104e-01,-3.478907942771911621e-01,-2.125591993331909180e+00,3.737301826477050781e-01,-2.384433269500732422e+00
6.868686868686868507e+00,-1.727320551872253418e+00,-2.219163179397583008e-01,-3.157328069210052490e-01,-1.929108619689941406e+00,3.391836583614349365e-01,-2.164023399353027344e+00
6.969696969696969724e+00,-1.519402265548706055e+00,-1.952041536569595337e-01,-2.777279317378997803e-01,-1.696900963783264160e+00,2.983559966087341309e-01,-1.903538942337036133e+00
7.070707070707070940e+00,-1.279496908187866211e+00,-1.643824875354766846e-01,-2.338761836290359497e-01,-1.428969621658325195e+00,2.512471973896026611e-01,-1.602980494499206543e+00
7.171717171717171269e+00,-1.007603645324707031e+00,-1.294511854648590088e-01,-1.841774731874465942e-01,-1.125313401222229004e+00,1.978571414947509766e-01,-1.262347102165222168e+00
7.272727272727272485e+00,-7.037230134010314941e-01,-9.041032940149307251e-02,-1.286318600177764893e-01,-7.859329581260681152e-01,1.381859034299850464e-01,-8.816389441490173340e-01
7.373737373737373701e+00,-3.678554892539978027e-01,-4.725998267531394958e-02,-6.723942607641220093e-02,-4.108288884162902832e-01,7.223359495401382446e-02,-4.608570635318756104e-01
7.474747474747474918e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00
7.575757575757575246e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
7.676767676767676463e+00,2.300234287977218628e-01,-9.843427687883377075e-02,-1.648986637592315674e-01,2.025670260190963745e-01,-2.307270020246505737e-01,2.293808460235595703e-01
7.777777777777777679e+00,4.400448501110076904e-01,-1.883090585470199585e-01,-3.154583275318145752e-01,3.875195682048797607e-01,-4.413908123970031738e-01,4.388155639171600342e-01
7.878787878787878896e+00,6.300641894340515137e-01,-2.696243226528167725e-01,-4.516789615154266357e-01,5.548575520515441895e-01,-6.319913268089294434e-01,6.283040642738342285e-01
7.979797979797979224e+00,8.000814318656921387e-01,-3.423800766468048096e-01,-5.735605359077453613e-01,7.045810222625732422e-01,-8.025286793708801270e-01,7.978463768959045410e-01
8.080808080808081328e+00,9.500967264175415039e-01,-4.065763056278228760e-01,-6.811031103134155273e-01,8.366898894309997559e-01,-9.530027508735656738e-01,9.474425315856933594e-01
8.181818181818181657e+00,1.080109953880310059e+00,-4.622131288051605225e-01,-7.743067741394042969e-01,9.511843919754028320e-01,-1.083413720130920410e+00,1.077092647552490234e+00
8.282828282828281985e+00,1.190121293067932129e+00,-5.092903971672058105e-01,-8.531713485717773438e-01,1.048064351081848145e+00,-1.193761467933654785e+00,1.186796545982360840e+00
8.383838383838384090e+00,1.280130267143249512e+00,-5.478081107139587402e-01,-9.176968932151794434e-01,1.127329587936401367e+00,-1.284045934677124023e+00,1.276554226875305176e+00
8.484848484848484418e+00,1.350137591361999512e+00,-5.777664184570312500e-01,-9.678834080696105957e-01,1.188980460166931152e+00,-1.354267239570617676e+00,1.346365809440612793e+00
8.585858585858586522e+00,1.400142550468444824e+00,-5.991651415824890137e-01,-1.003731012344360352e+00,1.233016729354858398e+00,-1.404425144195556641e+00,1.396231055259704590e+00
8.686868686868686851e+00,1.430145621299743652e+00,-6.120043992996215820e-01,-1.025239467620849609e+00,1.259438514709472656e+00,-1.434520006179809570e+00,1.426150321960449219e+00
8.787878787878787179e+00,1.440146684646606445e+00,-6.162841916084289551e-01,-1.032409071922302246e+00,1.268245935440063477e+00,-1.444551706314086914e+00,1.436123490333557129e+00
8.888888888888889284e+00,1.430145740509033203e+00,-6.120044589042663574e-01,-1.025239586830139160e+00,1.259438633918762207e+00,-1.434520125389099121e+00,1.426150560379028320e+00
8.989898989898989612e+00,1.400142669677734375e+00,-5.991651415824890137e-01,-1.003731012344360352e+00,1.233016848564147949e+00,-1.404425263404846191e+00,1.396231293678283691e+00
9.090909090909089940e+00,1.350137591361999512e+00,-5.777664184570312500e-01,-9.678834080696105957e-01,1.188980460166931152e+00,-1.354267239570617676e+00,1.346365809440612793e+00
9.191919191919192045e+00,1.280130386352539062e+00,-5.478081703186035156e-01,-9.176969528198242188e-01,1.127329707145690918e+00,-1.284046053886413574e+00,1.276554346084594727e+00
9.292929292929292373e+00,1.190121293067932129e+00,-5.092903971672058105e-01,-8.531713485717773438e-01,1.048064351081848145e+00,-1.193761467933654785e+00,1.186796545982360840e+00
9.393939393939394478e+00,1.080109953880310059e+00,-4.622131288051605225e-01,-7.743067741394042969e-01,9.511843919754028320e-01,-1.083413720130920410e+00,1.077092647552490234e+00
9.494949494949494806e+00,9.500967264175415039e-01,-4.065763056278228760e-01,-6.811031103134155273e-01,8.366898894309997559e-01,-9.530027508735656738e-01,9.474425315856933594e-01
9.595959595959595134e+00,8.000816702842712402e-01,-3.423801362514495850e-01,-5.735606551170349121e-01,7.045811414718627930e-01,-8.025287985801696777e-01,7.978464961051940918e-01
9.696969696969697239e+00,6.300641894340515137e-01,-2.696243226528167725e-01,-4.516789615154266357e-01,5.548575520515441895e-01,-6.319913268089294434e-01,6.283040642738342285e-01
9.797979797979797567e+00,4.400447309017181396e-01,-1.883089989423751831e-01,-3.154582381248474121e-01,3.875194787979125977e-01,-4.413906633853912354e-01,4.388154149055480957e-01
9.898989898989899672e+00,2.300235331058502197e-01,-9.843432158231735229e-02,-1.648987382650375366e-01,2.025671452283859253e-01,-2.307271063327789307e-01,2.293809503316879272e-01
1.000000000000000000e+01,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00,-0.000000000000000000e+00,0.000000000000000000e+00
