t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,1.235104072839021683e-02,2.628260757774114609e-03,-1.111586671322584152e-02,1.142221130430698395e-02,-6.473700050264596939e-03,-8.804625831544399261e-03
2.020202020202020166e-01,4.799260944128036499e-02,1.021266914904117584e-02,-4.319307953119277954e-02,4.438344761729240417e-02,-2.515494823455810547e-02,-3.421225771307945251e-02
3.030303030303030387e-01,1.048073843121528625e-01,2.230266667902469635e-02,-9.432605654001235962e-02,9.692560881376266479e-02,-5.493396148085594177e-02,-7.471352815628051758e-02
4.040404040404040331e-01,1.806780695915222168e-01,3.844769671559333801e-02,-1.626092344522476196e-01,1.670906245708465576e-01,-9.470098465681076050e-02,-1.287990957498550415e-01
5.050505050505050830e-01,2.734872996807098389e-01,5.819720029830932617e-02,-2.461370378732681274e-01,2.529203891754150391e-01,-1.433462202548980713e-01,-1.949595659971237183e-01
6.060606060606060774e-01,3.811177611351013184e-01,8.110060542821884155e-02,-3.430038392543792725e-01,3.524567484855651855e-01,-1.997598707675933838e-01,-2.716855406761169434e-01
7.070707070707070718e-01,5.014522075653076172e-01,1.067073717713356018e-01,-4.513041377067565918e-01,4.637417197227478027e-01,-2.628321945667266846e-01,-3.574677705764770508e-01
8.080808080808080662e-01,6.323732137680053711e-01,1.345669329166412354e-01,-5.691323280334472656e-01,5.848171710968017578e-01,-3.314534425735473633e-01,-4.507968127727508545e-01
9.090909090909090606e-01,7.717634439468383789e-01,1.642287224531173706e-01,-6.945827603340148926e-01,7.137249112129211426e-01,-4.045137166976928711e-01,-5.501632690429687500e-01
1.010101010101010166e+00,9.175058007240295410e-01,1.952422112226486206e-01,-8.257499933242797852e-01,8.485070466995239258e-01,-4.809034168720245361e-01,-6.540578603744506836e-01
1.111111111111111160e+00,1.067482590675354004e+00,2.271567732095718384e-01,-9.607282876968383789e-01,9.872052073478698730e-01,-5.595125555992126465e-01,-7.609710693359375000e-01
1.212121212121212155e+00,1.219576835632324219e+00,2.595219314098358154e-01,-1.097612261772155762e+00,1.127861618995666504e+00,-6.392315626144409180e-01,-8.693937659263610840e-01
1.313131313131313149e+00,1.371670961380004883e+00,2.918870449066162109e-01,-1.234496116638183594e+00,1.268517851829528809e+00,-7.189505100250244141e-01,-9.778163433074951172e-01
1.414141414141414144e+00,1.521647930145263672e+00,3.238016664981842041e-01,-1.369474530220031738e+00,1.407216191291809082e+00,-7.975597381591796875e-01,-1.084729671478271484e+00
1.515151515151515138e+00,1.667390227317810059e+00,3.548151552677154541e-01,-1.500641822814941406e+00,1.541998267173767090e+00,-8.739494085311889648e-01,-1.188624262809753418e+00
1.616161616161616132e+00,1.806780338287353516e+00,3.844769001007080078e-01,-1.626092076301574707e+00,1.670905947685241699e+00,-9.470096230506896973e-01,-1.287990570068359375e+00
1.717171717171717127e+00,1.937701582908630371e+00,4.123364984989166260e-01,-1.743920445442199707e+00,1.791981577873229980e+00,-1.015630960464477539e+00,-1.381319880485534668e+00
1.818181818181818121e+00,2.058035850524902344e+00,4.379432499408721924e-01,-1.852220654487609863e+00,1.903266429901123047e+00,-1.078703284263610840e+00,-1.467101931571960449e+00
1.919191919191919116e+00,2.165666341781616211e+00,4.608466327190399170e-01,-1.949087381362915039e+00,2.002802848815917969e+00,-1.135116815567016602e+00,-1.543827891349792480e+00
2.020202020202020332e+00,2.258475542068481445e+00,4.805961549282073975e-01,-2.032615184783935547e+00,2.088632583618164062e+00,-1.183762192726135254e+00,-1.609988451004028320e+00
2.121212121212121104e+00,2.334346294403076172e+00,4.967412054538726807e-01,-2.100898504257202148e+00,2.158797740936279297e+00,-1.223529219627380371e+00,-1.664074063301086426e+00
2.222222222222222321e+00,2.391160964965820312e+00,5.088311433792114258e-01,-2.152031421661376953e+00,2.211339712142944336e+00,-1.253308176994323730e+00,-1.704575181007385254e+00
2.323232323232323093e+00,2.426802635192871094e+00,5.164155960083007812e-01,-2.184108734130859375e+00,2.244301080703735352e+00,-1.271989464759826660e+00,-1.729982972145080566e+00
2.424242424242424310e+00,2.439153671264648438e+00,5.190438628196716309e-01,-2.195224523544311523e+00,2.255723237991333008e+00,-1.278463125228881836e+00,-1.738787531852722168e+00
