t,J1,J2,J3,J4,J5,J6
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-1.062457170337438583e-02,-8.811886422336101532e-03,-2.646405017003417015e-03,-4.618593025952577591e-03,1.202838495373725891e-02,8.387831039726734161e-03
2.020202020202020166e-01,-4.128404706716537476e-02,-3.424047306180000305e-02,-1.028317306190729141e-02,-1.794653013348579407e-02,4.673886671662330627e-02,3.259271010756492615e-02
3.030303030303030387e-01,-9.015706181526184082e-02,-7.477514445781707764e-02,-2.245663478970527649e-02,-3.919205442070960999e-02,1.020694226026535034e-01,7.117672264575958252e-02
4.040404040404040331e-01,-1.554223001003265381e-01,-1.289053112268447876e-01,-3.871312364935874939e-02,-6.756341457366943359e-02,1.759580820798873901e-01,1.227019727230072021e-01
5.050505050505050830e-01,-2.352583557367324829e-01,-1.951203495264053345e-01,-5.859896540641784668e-02,-1.022688373923301697e-01,2.663428187370300293e-01,1.857305318117141724e-01
6.060606060606060774e-01,-3.278438746929168701e-01,-2.719095945358276367e-01,-8.166048675775527954e-02,-1.425165534019470215e-01,3.711615502834320068e-01,2.588244676589965820e-01
7.070707070707070718e-01,-4.313575625419616699e-01,-3.577625751495361328e-01,-1.074440330266952515e-01,-1.875148415565490723e-01,4.883523881435394287e-01,3.405458927154541016e-01
8.080808080808080662e-01,-5.439780354499816895e-01,-4.511685669422149658e-01,-1.354959309101104736e-01,-2.364719361066818237e-01,6.158533096313476562e-01,4.294569194316864014e-01
9.090909090909090606e-01,-6.638838648796081543e-01,-5.506169795989990234e-01,-1.653624922037124634e-01,-2.885960340499877930e-01,7.516021132469177246e-01,5.241194963455200195e-01
1.010101010101010166e+00,-7.892538309097290039e-01,-6.545972228050231934e-01,-1.965900808572769165e-01,-3.430954515933990479e-01,8.935371041297912598e-01,6.230959296226501465e-01
1.111111111111111160e+00,-9.182663559913635254e-01,-7.615986466407775879e-01,-2.287249714136123657e-01,-3.991782963275909424e-01,1.039595961570739746e+00,7.249481081962585449e-01
1.212121212121212155e+00,-1.049100399017333984e+00,-8.701107501983642578e-01,-2.613135576248168945e-01,-4.560529887676239014e-01,1.187716960906982422e+00,8.282382488250732422e-01
1.313131313131313149e+00,-1.179934263229370117e+00,-9.786227345466613770e-01,-2.939021289348602295e-01,-5.129275918006896973e-01,1.335837841033935547e+00,9.315283298492431641e-01
1.414141414141414144e+00,-1.308947086334228516e+00,-1.085624337196350098e+00,-3.260370492935180664e-01,-5.690105557441711426e-01,1.481896877288818359e+00,1.033380627632141113e+00
1.515151515151515138e+00,-1.434316992759704590e+00,-1.189604520797729492e+00,-3.572646379470825195e-01,-6.235099434852600098e-01,1.623831748962402344e+00,1.132357001304626465e+00
1.616161616161616132e+00,-1.554222583770751953e+00,-1.289052844047546387e+00,-3.871311545372009277e-01,-6.756339669227600098e-01,1.759580492973327637e+00,1.227019548416137695e+00
1.717171717171717127e+00,-1.666843295097351074e+00,-1.382459044456481934e+00,-4.151830971240997314e-01,-7.245911359786987305e-01,1.887081623077392578e+00,1.315930604934692383e+00
1.818181818181818121e+00,-1.770356893539428711e+00,-1.468311905860900879e+00,-4.409666359424591064e-01,-7.695894241333007812e-01,2.004272460937500000e+00,1.397652029991149902e+00
1.919191919191919116e+00,-1.862942576408386230e+00,-1.545101284980773926e+00,-4.640281796455383301e-01,-8.098372220993041992e-01,2.109091281890869141e+00,1.470746040344238281e+00
2.020202020202020332e+00,-1.942778468132019043e+00,-1.611316204071044922e+00,-4.839139878749847412e-01,-8.445425629615783691e-01,2.199475765228271484e+00,1.533774495124816895e+00
2.121212121212121104e+00,-2.008043766021728516e+00,-1.665446400642395020e+00,-5.001704692840576172e-01,-8.729138970375061035e-01,2.273364543914794922e+00,1.585299730300903320e+00
2.222222222222222321e+00,-2.056916713714599609e+00,-1.705980896949768066e+00,-5.123439431190490723e-01,-8.941594362258911133e-01,2.328695058822631836e+00,1.623883724212646484e+00
2.323232323232323093e+00,-2.087576150894165039e+00,-1.731409668922424316e+00,-5.199807286262512207e-01,-9.074873924255371094e-01,2.363405466079711914e+00,1.648088693618774414e+00
2.424242424242424310e+00,-2.098200798034667969e+00,-1.740221500396728516e+00,-5.226271152496337891e-01,-9.121059775352478027e-01,2.375433921813964844e+00,1.656476497650146484e+00
2.525252525252525082e+00,-2.098200798034667969e+00,-1.740221500396728516e+00,-5.226271152496337891e-01,-9.121059775352478027e-01,2.375433921813964844e+00,1.656476497650146484e+00
2.626262626262626299e+00,-2.080293416976928711e+00,-1.723711371421813965e+00,-5.077149868011474609e-01,-8.964832425117492676e-01,2.371780157089233398e+00,1.660319447517395020e+00
2.727272727272727071e+00,-2.028617858886718750e+00,-1.676067948341369629e+00,-4.646827578544616699e-01,-8.514004349708557129e-01,2.361236095428466797e+00,1.671409010887145996e+00
2.828282828282828287e+00,-1.946244120597839355e+00,-1.600121498107910156e+00,-3.960868418216705322e-01,-7.795357704162597656e-01,2.344428062438964844e+00,1.689086556434631348e+00
2.929292929292929060e+00,-1.836241722106933594e+00,-1.498702287673950195e+00,-3.044835925102233887e-01,-6.835674047470092773e-01,2.321982860565185547e+00,1.712693214416503906e+00
3.030303030303030276e+00,-1.701680779457092285e+00,-1.374640703201293945e+00,-1.924293935298919678e-01,-5.661735534667968750e-01,2.294526576995849609e+00,1.741570115089416504e+00
3.131313131313131048e+00,-1.545631051063537598e+00,-1.230767011642456055e+00,-6.248068809509277344e-02,-4.300324022769927979e-01,2.262685537338256836e+00,1.775058507919311523e+00
3.232323232323232265e+00,-1.371162176132202148e+00,-1.069911479949951172e+00,8.280634880065917969e-02,-2.778221368789672852e-01,2.227086305618286133e+00,1.812499761581420898e+00
3.333333333333333481e+00,-1.181344270706176758e+00,-8.949042558670043945e-01,2.408751845359802246e-01,-1.122208833694458008e-01,2.188355207443237305e+00,1.853234887123107910e+00
3.434343434343434254e+00,-9.792469739913940430e-01,-7.085760831832885742e-01,4.091694355010986328e-01,6.409299373626708984e-02,2.147118568420410156e+00,1.896605134010314941e+00
3.535353535353535470e+00,-7.679401636123657227e-01,-5.137567520141601562e-01,5.851329565048217773e-01,2.484416365623474121e-01,2.104002714157104492e+00,1.941951870918273926e+00
3.636363636363636243e+00,-5.504938364028930664e-01,-3.132771253585815430e-01,7.662088871002197266e-01,4.381462931632995605e-01,2.059634208679199219e+00,1.988615989685058594e+00
3.737373737373737459e+00,-3.299775123596191406e-01,-1.099669933319091797e-01,9.498414993286132812e-01,6.305294632911682129e-01,2.014639377593994141e+00,2.035939216613769531e+00
3.838383838383838231e+00,-1.094614267349243164e-01,9.334290027618408203e-02,1.133473873138427734e+00,8.229123950004577637e-01,1.969644308090209961e+00,2.083261966705322266e+00
3.939393939393939448e+00,1.079852581024169922e-01,2.938230037689208984e-01,1.314550161361694336e+00,1.012617349624633789e+00,1.925275802612304688e+00,2.129926443099975586e+00
4.040404040404040664e+00,3.192920684814453125e-01,4.886419773101806641e-01,1.490513563156127930e+00,1.196965932846069336e+00,1.882159948348999023e+00,2.175272941589355469e+00
4.141414141414140992e+00,5.213890075683593750e-01,6.749701499938964844e-01,1.658807516098022461e+00,1.373279571533203125e+00,1.840923309326171875e+00,2.218643188476562500e+00
